timestamp_utc,session,area,error
2026-05-19T08:54:23Z,bad,OFC,test err
2026-07-05T08:28:23Z,G4A3 | 26/3/2025 | (Novice) 2b Categorization,ACx,No imec0 probe folder with event windows found under Z:\Shared\Amichai\Data\pipeline_output\catgt_G4A3_novice_2boudaries4_g0
2026-07-05T08:28:23Z,G4A3 | 26/3/2025 | (Novice) 2b Categorization,OFC,No imec1 probe folder with event windows found under Z:\Shared\Amichai\Data\pipeline_output\catgt_G4A3_novice_2boudaries4_g0
2026-07-05T08:28:23Z,G4A4 | 27/3/2025 | (Novice) 2b Categorization,OFC,OFC: no usable units after filtering (use_histology=True).
2026-07-05T08:28:23Z,G4A5 | 27/3/2025 | (Novice) 2b Categorization,ACx,No imec0 probe folder with event windows found under Z:\Shared\Amichai\Data\pipeline_output\catgt_G4A5_novice_2b_4t_g0
2026-07-05T08:28:23Z,G4A5 | 27/3/2025 | (Novice) 2b Categorization,OFC,No imec1 probe folder with event windows found under Z:\Shared\Amichai\Data\pipeline_output\catgt_G4A5_novice_2b_4t_g0
2026-07-05T08:28:23Z,G5A1 | 16/7 | (Novice) 2b Categorization,ACx,ACx: no usable units after filtering (use_histology=True).
2026-07-05T08:28:23Z,G5A1 | 16/7 | (Novice) 2b Categorization,OFC,OFC: no usable units after filtering (use_histology=True).
2026-07-05T08:28:23Z,G5A1 | 16/7 | (Novice) 2b Categorization,ACx,No imec0 probe folder with event windows found under Z:\Shared\Amichai\Data\pipeline_output\catgt_G5A1_naive_2b_4t_high_and_low_g0
2026-07-05T08:28:23Z,G5A1 | 16/7 | (Novice) 2b Categorization,OFC,No imec1 probe folder with event windows found under Z:\Shared\Amichai\Data\pipeline_output\catgt_G5A1_naive_2b_4t_high_and_low_g0
2026-07-05T08:28:23Z,G5A2 | 16/7 | (Novice) 2b Categorization,ACx,ACx: no usable units after filtering (use_histology=True).
2026-07-05T08:28:23Z,G5A2 | 16/7 | (Novice) 2b Categorization,OFC,OFC: no usable units after filtering (use_histology=True).
2026-07-05T08:28:23Z,G7A1 | 28/10/2025 | (Novice) 2b Categorization,ACx,No imec0 probe folder with event windows found under Z:\Shared\Amichai\Data\pipeline_output\catgt_G7A1_novice_2b_4t_g0
2026-07-05T08:28:23Z,G7A1 | 28/10/2025 | (Novice) 2b Categorization,OFC,No imec1 probe folder with event windows found under Z:\Shared\Amichai\Data\pipeline_output\catgt_G7A1_novice_2b_4t_g0
2026-07-05T08:28:23Z,G7A3 | 28/10/2025 | (Novice) 2b Categorization,ACx,ACx: no usable units after filtering (use_histology=True).
2026-07-05T08:38:12Z,G4A3 | 1/4/2025 | (1b Expert) 1b Categorization,OFC,No imec1 probe folder with event windows found under Z:\Shared\Amichai\Data\pipeline_output\catgt_G4A2_1b_4t_g0
